Company,Income_Growth,Operating_Income,Operating_Expenses,Total_Assets,Total_Debt,Operating_Cash_Flow,Investing_Cash_Flow,Operating_Profitability,ROA,ROE
AMD,0.23,451000000.00,1996000000.00,4556000000.00,94000000.00,34000000.00,-170000000.00,0.07,0.18,0.27
ZNGA,0.05,6762000.00,595788000.00,2146703000.00,-516228000.00,168240000.00,18981000.00,0.03,0.03,0.01
GRPN,-0.07,54039000.00,1266562000.00,1642142000.00,639352000.00,190855000.00,-135982000.00,0.00,-0.06,-0.03
ATVI,0.07,1988000000.00,2995000000.00,17890000000.00,1554000000.00,1790000000.00,-230000000.00,0.26,0.48,0.16
SQ,0.49,-36614000.00,1340314000.00,3281023000.00,215117000.00,295080000.00,-905848000.00,-0.01,-0.03,-0.03
XRX,-0.04,598000000.00,3329000000.00,14874000000.00,4146000000.00,1140000000.00,-29000000.00,0.06,0.15,0.07
CVLT,0.08,-946000.00,602187000.00,818642000.00,462421000.00,84169000.00,-17991000.00,0.00,-0.14,-0.15
ON,0.06,847200000.00,1391500000.00,7587600000.00,1696500000.00,1274200000.00,-548900000.00,0.15,0.15,0.20
MRVL,0.05,429695000.00,1032245000.00,4708287000.00,1841272000.00,571113000.00,39521000.00,0.22,0.24,0.13
GDDY,0.19,472700000.00,1293500000.00,6083400000.00,1459500000.00,559800000.00,-254800000.00,0.06,-0.48,0.10
ENTG,0.15,292689000.00,427142000.00,2317641000.00,456801000.00,312576000.00,-485944000.00,0.19,0.20,0.24
IT,0.20,259715000.00,2246939000.00,6201474000.00,2125319000.00,471158000.00,384051000.00,0.08,-0.23,0.14
ATHM,0.12,365779160.64,562276266.28,2280202749.64,1462745389.25,450280463.10,-477748046.31,0.45,0.05,0.26
CY,0.07,164428000.00,767027000.00,3693215000.00,595458000.00,471700000.00,-49690000.00,0.04,0.52,0.17
ZAYO,0.17,425600000.00,1235000000.00,9209900000.00,5571900000.00,971200000.00,-966800000.00,0.16,0.02,0.07
NCR,-0.02,191000000.00,1484000000.00,7761000000.00,2701000000.00,572000000.00,-520000000.00,0.02,-0.08,-0.22
PSTG,0.39,-167434000.00,838415000.00,1123995000.00,612109000.00,72756000.00,-57159000.00,-0.15,-0.24,-0.28
YNDX,0.14,302333333.33,1027623188.41,3502869565.22,997072463.77,408869565.22,376217391.30,0.45,0.01,0.26
CGNX,0.05,221142000.00,379144000.00,1289667000.00,535560000.00,223454000.00,-10827000.00,0.29,0.28,0.19
MX,0.10,47418000.00,150678000.00,583196000.00,171139000.00,39236000.00,-33306000.00,0.03,-0.01,0.23
SABR,0.07,562016000.00,513526000.00,5806381000.00,2896637000.00,724797000.00,-275259000.00,0.14,0.35,0.35
WIT,-0.01,1271981566.82,1174961597.54,11684178187.40,118073487.62,1293901689.71,546513056.84,0.20,0.00,0.17
HQY,0.29,54418000.00,80498000.00,369159000.00,240269000.00,81702000.00,-36748000.00,0.23,0.19,0.14
GRUB,0.47,84963000.00,467973000.00,2065708000.00,116469000.00,225527000.00,-594004000.00,0.08,0.30,0.05
NTCT,-0.15,-4058000.00,718940000.00,3368608000.00,152238000.00,222454000.00,57128000.00,-0.01,0.20,0.04
TTWO,0.01,135577000.00,759004000.00,3737841000.00,1853709000.00,493527000.00,-271827000.00,0.08,0.22,0.12
KLAC,0.16,1570307000.00,1020353000.00,5638619000.00,642916000.00,1229120000.00,291618000.00,0.39,0.22,0.50
PAYC,0.31,173715000.00,301858000.00,1521926000.00,11329000.00,184817000.00,62620000.00,0.31,0.64,0.41
QRVO,-0.02,69676000.00,1077290000.00,6381519000.00,57253000.00,852520000.00,-277409000.00,0.03,-0.01,-0.01
DOX,0.03,428307000.00,951254000.00,5347815000.00,619649000.00,557249000.00,-362392000.00,0.11,0.38,0.10
NUAN,0.06,-86944000.00,1265035000.00,5302379000.00,1733819000.00,444426000.00,-37315000.00,-0.04,-0.50,-0.09
