County,	Libraries,	Active_reader,	Personnel,	Cinemas,	Institutions_and_companies,	Museums,	Visitors_in_museums,	Personnel_of_museums,	Lent_volumes,	Audience,
Alba,	192,	47070,	147,	1,	5,	57,	79740,	155,	386851,	7388,
Arad,	196,	44955,	156,	1,	3,	12,	28660,	66,	294063,	19981,
Arges,	339,	80394,	280,	4,	7,	29,	197800,	187,	670726,	29826,
Bacau,	336,	68818,	235,	3,	4,	26,	23413,	130,	652889,	13835,
Bihor,	258,	56252,	209,	1,	8,	14,	272600,	246,	577912,	52073,
Bistrita-Nasaud,	162,	34215,	94,	2,	14,	10,	47533,	87,	262805,	3492,
Botosani,	237,	67194,	193,	3,	4,	9,	12951,	89,	455348,	39858,
Brasov,	202,	67698,	256,	1,	10,	35,	1039931,	334,	488247,	36457,
Braila,	144,	30182,	160,	2,	5,	9,	5840,	64,	186269,	15241,
Buzau,	218,	51837,	238,	1,	3,	7,	60962,	68,	380915,	8504,
Caras-Severin,	162,	27497,	79,	4,	2,	15,	202312,	109,	170673,	4287,
Calarasi,	140,	29152,	123,	1,	2,	5,	48803,	53,	292741,	45639,
Cluj,	272,	117538,	616,	5,	9,	21,	186337,	297,	965199,	76976,
Constanta,	229,	67522,	297,	4,	3,	18,	391280,	268,	467169,	40950,
Covasna,	133,	21580,	104,	1,	4,	9,	15768,	63,	188315,	31040,
Dambovita,	254,	75450,	177,	1,	4,	31,	298119,	139,	523316,	17785,
Dolj,	293,	79290,	428,	5,	5,	9,	148632,	141,	657234,	34257,
Galati,	224,	65899,	272,	2,	6,	12,	228551,	125,	697284,	25893,
Giurgiu,	115,	25572,	94,	3,	4,	4,	738,	40,	161159,	3142,
Gorj,	121,	38437,	132,	2,	5,	32,	139676,	59,	270335,	34891,
Harghita,	147,	39714,	150,	2,	6,	23,	11961,	71,	386456,	25804,
Hunedoara,	166,	46839,	160,	3,	2,	18,	404722,	187,	364892,	14414,
Ialomita,	136,	31893,	142,	1,	2,	6,	9855,	57,	265438,	5000,
Iasi,	408,	125100,	570,	2,	4,	24,	354272,	216,	1477501,	67693,
Ilfov,	93,	17063,	52,	1,	2,	7,	17363,	50,	61540,	980,
Maramures,	219,	61798,	230,	1,	4,	20,	218490,	160,	474749,	8628,
Mehedinti,	146,	32638,	91,	1,	2,	3,	74532,	90,	205319,	60880,
Mures,	243,	68032,	232,	2,	1,	14,	282838,	170,	547147,	43687,
Neamt,	262,	67186,	211,	1,	1,	29,	353028,	170,	1146367,	4262,
Olt,	239,	43168,	164,	1,	2,	13,	4848,	60,	350284,	34350,
Prahova,	336,	99499,	316,	2,	5,	37,	478453,	444,	641318,	26359,
Satu-Mare,	171,	32718,	126,	3,	3,	16,	19822,	99,	265740,	22957,
Salaj,	160,	32068,	123,	1,	5,	8,	52447,	94,	340714,	5337,
Sibiu,	181,	47953,	237,	3,	7,	25,	683389,	348,	272478,	89048,
Suceava,	299,	92836,	280,	2,	3,	29,	278890,	270,	775412,	17756,
Teleorman,	159,	33956,	137,	2,	2,	7,	1960,	27,	211487,	5000,
Timis,	213,	97302,	321,	3,	8,	22,	39844,	173,	660659,	42440,
Tulcea,	111,	23346,	122,	1,	3,	8,	119200,	76,	224937,	13058,
Vaslui,	207,	48094,	169,	2,	1,	10,	50545,	126,	460174,	5355,
Valcea,	201,	49349,	190,	2,	5,	19,	176423,	152,	374898,	21536,
Vrancea,	159,	36377,	152,	1,	5,	20,	38947,	91,	263130,	16030,
Municipiul-Bucuresti,	346,	280551,	1429,	5,	43,	40,	837791,	1539,	2054104,	479794,
