Country,No. of primary education enrollments,No. of lower secundary education enrollments,No. upper secondary education enrollements,No. of Bachelor education enrollments,No. of Master's education enrollments,Precentage of persons at risk of poverty or social exclusion,Unemployment rate (precentage of total labor force),Region
Belgium,823725,440421,734308,371661,110164,20.3,5.8,Western Europe
Bulgaria,248354,198514,274024,147944,72224,33.6,6.1,Eastern Europe
Czechia,571922,439486,394406,190673,105834,11.5,2.6,Eastern Europe
Denmark,452253,243090,286916,194534,68770,16.8,5.6,Northern Europe
Estonia,89702,42755,45779,27471,15099,22.8,6.9,Northern Europe
Ireland,570381,215239,227586,167763,36800,20.1,5.9,Northern Europe
Greece,625523,332800,344001,687121,84077,27.4,17.6,Southern Europe
Spain,3006992,1702246,1770354,1224186,365556,27.0,15.5,Southern Europe
France,4279257,3446350,2710922,1116575,1018720,19.3,8.0,Western Europe
Croatia,156627,176472,148181,93233,64498,20.5,7.5,Southern Europe
Italy,2762544,1777516,2858684,1227227,752079,24.9,9.3,Southern Europe
Cyprus,59195,28267,27655,24046,22083,17.6,7.6,Southern Europe
Latvia,120051,58130,59313,44856,18632,25.1,8.1,Northern Europe
Lithuania,118616,164579,59681,77130,26591,24.5,8.5,Northern Europe
Luxembourg,40098,23263,26596,3056,2661,19.9,6.8,Western Europe
Hungary,358766,393848,407753,184868,79631,19.4,4.1,Eastern Europe
Malta,27035,13307,17665,8891,5693,19.9,4.4,Southern Europe
Netherlands,1161942,771962,839691,695419,195384,16.0,4.9,Western Europe
Austria,343981,341516,351565,196271,134423,16.7,6.0,Western Europe
Poland,1333675,1744202,1614772,917005,439159,17.0,3.2,Eastern Europe
Portugal,601972,348892,393340,216142,125087,20.0,7.0,Southern Europe
Romania,904077,718564,719050,349414,171909,35.6,6.1,Eastern Europe
Slovenia,134199,58811,89014,41933,20827,14.3,5.0,Southern Europe
Slovakia,232979,262951,179587,78538,50913,13.8,6.7,Eastern Europe
Finland,373173,186665,327235,204676,72794,15.9,7.7,Northern Europe
Sweden,892231,398179,549404,256655,143164,17.7,8.5,Northern Europe
