,Industry,Transport,Residential,Services
AT,0.8151726335885928,-0.2130888177199711,-0.20400885813247485,-1.0044549740714808
BE,0.7179088312648155,-0.5120046480419123,-0.19504884688982038,0.24636984676467727
BG,0.452864969932522,-0.10803852591353778,-0.09051538239218881,-0.6424591602894404
CH,-0.8845123120194156,0.019931829559753842,0.517272046901184,1.164287803140566
CY,-1.5094322419496844,2.172507808938848,-1.5091838291457615,-0.07360859577480515
CZ,1.1811276898318046,-0.8624906216142849,0.015511417312552013,-0.25783860814602233
DE,0.28508491092400634,-0.5549797674172716,0.3082051179059203,0.4564567029774688
DK,-1.096061082073631,0.08582701260197079,1.0250060173182525,0.40797512077451686
EE,-0.6559423765585387,-0.6094149186260593,1.4834599259007228,0.5922051331457341
EL,-0.7994064849861101,1.000719553970725,-0.17712882440451247,-0.8784028603438063
ES,0.14405239755452925,0.7944389809690019,-1.147796709025378,-0.5842812616458982
FI,2.6887166258503523,-1.3323519267848767,-0.413075787127738,-1.7446071290365464
FR,-0.5635417643509505,-0.05933339062146374,0.4440986217528415,0.7376498797545894
HR,-0.3580719819419708,-0.05360337470474967,-0.12038208653436919,1.3937672922345385
HU,-0.9246336304779735,-0.6858151308489199,1.3117263770831842,1.9399931183877965
IE,-1.086334701841253,0.5872034053144927,0.23055168713625113,0.4047430152943201
IT,-0.0018433059311365849,0.017066821601396467,-0.10843540487749724,0.17849563168054494
LT,-0.7495587862951743,-0.08702846755225127,1.126552811401666,-0.14794702181933092
LU,-0.9829919118722399,2.5611938886226504,-2.2603314383216007,-1.1660602480813202
LV,-0.8358804108575267,-0.4728495392776963,1.5163133004571212,0.5404914454625853
MT,-1.7319231897653249,2.7932595332495893,-1.9332910279647244,-0.665083898650818
NL,0.32763782444065903,-0.44324445704133797,-0.5683826486670763,1.8591904813828768
NO,0.851646559460009,-0.5874498576119873,-0.5250759276609148,0.8637019934822645
PL,-0.12220726130681078,-0.5979548867926305,1.0474060454248875,0.08153246727464097
PT,0.5914658882439047,0.6941637024264972,-1.4539304264827275,-0.7749754849775089
RO,0.7130456411486263,-1.100286282157938,1.5626066918775001,-1.5571450111851324
SE,1.4255029931702947,-0.8367055499890695,-0.6251293865372196,0.39504669885372995
SI,0.08934150874740461,0.23289742113097714,-0.036755314936264036,-0.9462770754279386
SK,1.5057456300874115,-1.0745012105327225,-0.9581431377225316,1.7040494183334307
TR,1.1799118923027576,-1.0592211680881505,0.9607926034125644,-1.6314834372296587
UK,-0.6668845543199636,0.2911525829509082,0.7771123729381539,-0.8913312822645931
