,z1,z2,z3,z4
AT,-0.15811674614702337,-1.2989887067730572,-0.07933468903604772,2.1143490824130194e-05
BE,-0.10559995118311,-0.25947801508971396,0.06683148828965753,0.0008777014568814538
BG,-0.073400869937676,-0.7912238048522577,-0.044232931394322,-6.782793247375987e-05
CH,0.4681983749609743,1.4253375654639062,0.1607253576012852,-9.175895238602277e-05
CY,-1.909057241959525,1.1413754807181955,-0.22349687737260657,-0.0010428516958265912
CZ,-0.29186709979685854,-1.0341111351317365,0.592180549603543,0.00021589293799658714
DE,0.8546852216051647,0.17113429518407347,-0.4214132934016884,0.0011471710439691636
DK,1.4232039419537963,0.9544104200085057,-0.43135469369321416,-0.0003533145353311161
EE,1.0709388647187021,0.6534809387552624,0.7401234278540492,-0.0012288413442904406
EL,-0.37460736692749613,-0.13354746362937048,-0.14946810441183334,-0.0013703192948524817
ES,-0.8123346369751846,-0.3551964050414944,-0.698910246606971,0.0006313350593702856
FI,-0.1294604756458255,-3.0913455119656104,-0.08710146530413569,0.001234753250499468
FR,0.41826705555852467,0.8892057009245459,0.11959173903374695,-0.00010081043416991452
HR,-0.13843897818150433,1.3396116475841295,0.15374029877092282,0.0007408140852222406
HU,1.369148152715488,1.9523609539909148,0.3307795399849042,0.00023996264448545017
IE,0.5532457237092036,1.0504143710934457,-0.5100733359520715,-0.00012733022210931403
IT,-0.5921144270873222,0.10722141737174239,0.567945676346266,-0.0005031678749992832
LT,1.5629003333336149,0.2773626265724448,-0.4693174251370413,-0.000485248691821995
LU,-3.1674372239783817,-0.007194559399657859,0.13902171428981863,-0.0018268957126459024
LV,1.5426365330880039,0.7742422886440422,0.18744885186364907,-0.0007961028256431988
MT,-2.436259142619856,0.8833336866954787,-0.3489208788331029,-0.0015779098963290565
NL,-0.5013190827637586,1.3073562116907775,0.20266240951720407,0.0018457887867755801
NO,0.047972067184925235,0.2233899285612222,-0.424230853776532,0.0022053181574668733
PL,1.1184292695619757,0.004777862493133467,0.12454060418773816,-0.00036043733855323256
PT,-1.5532538866042322,-0.8063947393944312,-0.18796933062457188,0.00033546781334737355
RO,1.271823730575936,-1.9421928077705068,0.5638311857538022,-0.001625458302320999
SE,-0.4600646508093314,-0.5558157124004051,0.08059433715169849,0.0017576752669975215
SI,-0.08518593831006932,-0.794390621128304,-0.09527856300770962,-0.0006461164079224732
SK,-1.2183565567239123,0.4104368593301384,0.7493967041046352,0.002269581696563252
TR,1.1472696819814323,-2.1841179579366132,-0.019322295041337426,-0.0004417746076818532
UK,1.1581553247029812,-0.3114548145688208,-0.588988900759086,-0.0008764396210421726
